Burkholderia gladioli	1:NZ_CP009323.1/CP009323.1	2:NZ_CP009322.1/CP009322.1						
Burkholderia mallei	1:NZ_CP009337.1/CP009337.1	2:NZ_CP009338.1/CP009338.1						
Vibrio tubiashii ATCC 19109	1:NZ_CP009354.1/CP009354.1	2:NZ_CP009355.1/CP009355.1						
Vibrio harveyi	1:NZ_CP009467.1/CP009467.2	2:NZ_CP009468.1/CP009468.1						
Vibrio coralliilyticus	1:NZ_CP009617.1/CP009617.1	2:NZ_CP009618.1/CP009618.1						
Brucella abortus 104M	1:NZ_CP009625.1/CP009625.1	2:NZ_CP009626.1/CP009626.1						
Burkholderia contaminans	1:NZ_CP009743.1/CP009743.1	2:NZ_CP009744.1/CP009744.1	3:NZ_CP009745.1/CP009745.1					
Vibrio parahaemolyticus	1:NZ_CP009765.1/CP009765.1	2:NZ_CP009766.1/CP009766.1						
Burkholderia dolosa AU0158	1:NZ_CP009795.1/CP009795.1	2:NZ_CP009793.1/CP009793.1	3:NZ_CP009794.1/CP009794.1					
Burkholderia ambifaria AMMD	1:NZ_CP009798.1/CP009798.1	2:NZ_CP009799.1/CP009799.1	3:NZ_CP009800.1/CP009800.1					
Burkholderia multivorans ATCC BAA-247	1:NZ_CP009832.1/CP009832.1	2:NZ_CP009831.1/CP009831.1	3:NZ_CP009830.1/CP009830.1					
Vibrio parahaemolyticus	1:NZ_CP009847.1/CP009847.1	2:NZ_CP009848.1/CP009848.1						
Pseudoalteromonas sp. OCN003	1:NZ_CP009888.1/CP009888.1	2:NZ_CP009889.1/CP009889.1						
Burkholderia pseudomallei Pasteur 52237	1:NZ_CP009899.1/CP009899.1	2:NZ_CP009898.1/CP009898.1						
Burkholderia mallei	1:NZ_CP009942.1/CP009942.1	2:NZ_CP009943.1/CP009943.1						
Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759	1:NZ_CP009977.1/CP009977.1	2:NZ_CP009978.1/CP009978.1						
Vibrio parahaemolyticus	1:NZ_CP009982.1/CP009982.1	2:NZ_CP009983.1/CP009983.1						
Vibrio vulnificus	1:NZ_CP009984.1/CP009984.1	2:NZ_CP009985.1/CP009985.1						
Burkholderia thailandensis 34	1:NZ_CP010017.1/CP010017.1	2:NZ_CP010018.1/CP010018.1						
Paraburkholderia fungorum	1:NZ_CP010026.1/CP010026.1	2:NZ_CP010027.1/CP010027.1	3:NZ_CP010025.1/CP010025.1					
Burkholderia mallei	1:NZ_CP010065.1/CP010065.1	2:NZ_CP010066.1/CP010066.1						
Cupriavidus gilardii CR3	1:NZ_CP010516.1/CP010516.1	2:NZ_CP010517.1/CP010517.1						
Ralstonia mannitolilytica	1:NZ_CP010799.1/CP010799.2	2:NZ_CP010800.1/CP010800.1						
Vibrio parahaemolyticus	1:NZ_CP010883.1/CP010883.1	2:NZ_CP010884.1/CP010884.1						
Burkholderia pseudomallei	1:NZ_CP010973.1/CP010973.1	2:NZ_CP010974.1/CP010974.1						
Ralstonia mannitolilytica	1:NZ_CP011257.1/CP011257.1	2:NZ_CP011258.1/CP011258.1						
Vibrio parahaemolyticus	1:NZ_CP011406.1/CP011406.1	2:NZ_CP011407.1/CP011407.1						
Burkholderia pyrrocinia	1:NZ_CP011503.1/CP011503.1	2:NZ_CP011504.1/CP011504.1	3:NZ_CP011505.1/CP011505.1					
Burkholderia cenocepacia	1:NZ_CP011917.1/CP011917.1	2:NZ_CP011918.1/CP011918.1	3:NZ_CP011919.1/CP011919.1					
Leptospira interrogans serovar Manilae	1:NZ_CP011931.1/CP011931.1	2:NZ_CP011932.1/CP011932.1						
Leptospira interrogans serovar Manilae	1:NZ_CP011934.1/CP011934.1	2:NZ_CP011935.1/CP011935.1						
Leptospira borgpetersenii serovar Ballum	1:NZ_CP012029.1/CP012029.1	2:NZ_CP012030.1/CP012030.1						
Burkholderia pseudomallei	1:NZ_CP012041.1/CP012041.1	2:NZ_CP012042.1/CP012042.1						
Prevotella fusca JCM 17724	1:NZ_CP012074.1/CP012074.1	2:NZ_CP012075.1/CP012075.1						
Burkholderia sp. HB1	1:NZ_CP012192.1/CP012192.1	2:NZ_CP012193.1/CP012193.1						
Azospirillum thiophilum	1:NZ_CP012401.1/CP012401.1	2:NZ_CP012402.1/CP012402.1	3:NZ_CP012403.1/CP012403.1	4:NZ_CP012404.1/CP012404.1	5:NZ_CP012405.1/CP012405.1	6:NZ_CP012406.1/CP012406.1	7:NZ_CP012407.1/CP012407.1	8:NZ_CP012408.1/CP012408.1
Burkholderia pseudomallei	1:NZ_CP012515.1/CP012515.1	2:NZ_CP012516.1/CP012516.1						
Burkholderia pseudomallei	1:NZ_CP012517.1/CP012517.1	2:NZ_CP012518.1/CP012518.1						
Burkholderia pseudomallei	1:NZ_CP012576.1/CP012576.1	2:NZ_CP012577.1/CP012577.1						
Ralstonia insidiosa	1:NZ_CP012605.1/CP012605.1	2:NZ_CP012606.1/CP012606.1						
Vibrio vulnificus	1:NZ_CP012739.1/CP012739.1	2:NZ_CP012740.1/CP012740.1						
Paraburkholderia caribensis MBA4	1:NZ_CP012746.1/CP012746.1	2:NZ_CP012747.1/CP012747.1						
Vibrio parahaemolyticus	1:NZ_CP012950.1/CP012950.1	2:NZ_CP012951.1/CP012951.1						
Rhodobacter sphaeroides	1:NZ_CP012960.1/CP012960.1	2:NZ_CP012961.1/CP012961.1						
Vibrio cholerae	1:NZ_CP012997.1/CP012997.1	2:NZ_CP012998.1/CP012998.1						
Vibrio cholerae	1:NZ_CP013013.1/CP013013.1	2:NZ_CP013014.1/CP013014.1						
Paraburkholderia caribensis	1:NZ_CP013102.1/CP013102.1	2:NZ_CP013103.1/CP013103.1						
Leptospira interrogans serovar Hardjo-prajitno	1:NZ_CP013147.1/CP013147.1	2:NZ_CP013148.1/CP013148.1						
Vibrio parahaemolyticus	1:NZ_CP013248.1/CP013248.1	2:NZ_CP013249.1/CP013249.1						
Clostridium butyricum	1:NZ_CP013252.1/CP013252.1	2:NZ_CP013489.1/CP013489.1						
Vibrio cholerae	1:NZ_CP013301.1/CP013301.1	2:NZ_CP013302.1/CP013302.1						
Vibrio cholerae	1:NZ_CP013303.1/CP013303.1	2:NZ_CP013304.1/CP013304.1						
Vibrio cholerae	1:NZ_CP013305.1/CP013305.1	2:NZ_CP013306.1/CP013306.1						
Vibrio cholerae	1:NZ_CP013309.1/CP013309.1	2:NZ_CP013310.1/CP013310.1						
Vibrio cholerae	1:NZ_CP013313.1/CP013313.1	2:NZ_CP013314.1/CP013314.1						
Vibrio cholerae	1:NZ_CP013315.1/CP013315.1	2:NZ_CP013316.1/CP013316.1						
Vibrio cholerae	1:NZ_CP013317.1/CP013317.1	2:NZ_CP013318.1/CP013318.1						
Vibrio cholerae	1:NZ_CP013319.1/CP013319.1	2:NZ_CP013320.1/CP013320.1						
Paraburkholderia caribensis	1:NZ_CP013347.1/CP013347.1	2:NZ_CP013348.1/CP013348.1	3:NZ_CP013349.1/CP013349.1					
